,boxscore,home_abbr,away_abbr,winning_abbr,home_odds,away_odds,safe_net_profit
0,201611010CLE,CLE,HOU,CLE,4.74,6.67,187.0
1,201611010DET,DET,NYK,DET,1.53,2.7,26.5
2,201611010IND,IND,LAL,IND,3.8,5.44,140.0
3,201611010MIA,MIA,SAC,MIA,1.44,2.6,21.999999999999996
4,201611010MIN,MIN,MEM,MIN,1.62,2.8,31.000000000000007
5,201611010NOP,NOP,MIL,MIL,1.47,2.63,-50.0
6,201611010PHI,PHI,ORL,ORL,3.05,1.84,42.00000000000001
7,201611010POR,POR,GSW,GSW,3.15,1.93,46.5
8,201611020ATL,ATL,LAL,LAL,7.67,11.0,-50.0
9,201611020BOS,BOS,CHI,BOS,1.43,2.58,21.499999999999996
10,201611020BRK,BRK,DET,BRK,2.67,1.51,-50.0
11,201611020CHO,CHO,PHI,CHO,8.87,13.0,393.49999999999994
12,201611020LAC,LAC,OKC,OKC,2.69,4.05,-50.0
13,201611020MEM,MEM,NOP,MEM,1.86,3.08,43.00000000000001
14,201611020NYK,NYK,HOU,HOU,1.03,2.14,-50.0
15,201611020PHO,PHO,POR,PHO,2.5,1.34,-50.0
16,201611020UTA,UTA,DAL,UTA,1.4,2.55,19.999999999999996
17,201611030CLE,CLE,BOS,CLE,5.93,8.34,246.5
18,201611030GSW,GSW,OKC,GSW,7.5,10.72,325.0
19,201611030MIL,MIL,IND,MIL,2.45,1.31,-50.0
20,201611030MIN,MIN,DEN,DEN,1.47,2.63,-50.0
21,201611040BRK,BRK,CHO,CHO,3.95,2.6,80.0
22,201611040CHI,CHI,NYK,NYK,2.73,4.1,-50.0
23,201611040DAL,DAL,POR,POR,2.27,1.15,7.499999999999996
24,201611040MEM,MEM,LAC,LAC,3.41,2.15,57.49999999999999
25,201611040NOP,NOP,PHO,PHO,1.24,2.37,-50.0
26,201611040TOR,TOR,MIA,TOR,2.6,3.95,80.0
27,201611040UTA,UTA,SAS,SAS,2.65,1.49,24.5
28,201611050ATL,ATL,HOU,ATL,1.4,2.55,19.999999999999996
29,201611050DET,DET,DEN,DET,1.64,2.82,31.999999999999996
30,201611050IND,IND,CHI,IND,1.52,2.69,26.0
31,201611050MIL,MIL,SAC,MIL,1.54,2.71,27.0
32,201611050OKC,OKC,MIN,OKC,1.66,2.85,32.99999999999999
33,201611050ORL,ORL,WAS,ORL,2.3,3.59,64.99999999999999
34,201611050PHI,PHI,CLE,CLE,11.0,7.67,333.5
35,201611060BOS,BOS,DEN,DEN,2.48,3.8,-50.0
36,201611060DAL,DAL,MIL,DAL,1.31,2.45,15.500000000000004
37,201611060MEM,MEM,POR,POR,2.03,2.07,-50.0
38,201611060NYK,NYK,UTA,UTA,2.33,1.2,9.999999999999998
39,201611070CHI,CHI,ORL,CHI,2.52,3.85,76.0
40,201611070CHO,CHO,IND,CHO,1.27,2.4,13.5
41,201611070GSW,GSW,NOP,GSW,21.73,51.0,1036.5
42,201611070LAC,LAC,DET,LAC,3.38,4.9,119.0
43,201611070OKC,OKC,MIA,OKC,1.97,3.2,48.5
44,201611070PHI,PHI,UTA,UTA,2.95,1.75,37.5
45,201611080BRK,BRK,MIN,BRK,2.85,1.66,-50.0
46,201611080CLE,CLE,ATL,ATL,3.05,4.5,-50.0
47,201611080MEM,MEM,DEN,MEM,1.58,2.75,29.000000000000004
48,201611080POR,POR,PHO,POR,3.38,4.9,119.0
49,201611090ATL,ATL,CHI,ATL,1.42,2.57,20.999999999999996
50,201611090CHO,CHO,UTA,CHO,1.37,2.52,18.500000000000007
51,201611090GSW,GSW,DAL,GSW,19.99,43.0,949.4999999999999
52,201611090IND,IND,PHI,IND,6.38,9.0,269.0
53,201611090LAC,LAC,POR,LAC,5.27,7.4,213.49999999999997
54,201611090NYK,NYK,BRK,NYK,2.99,4.42,99.50000000000001
55,201611090OKC,OKC,TOR,TOR,1.36,2.5,-50.0
56,201611090ORL,ORL,MIN,MIN,1.24,2.37,-50.0
57,201611090PHO,PHO,DET,PHO,2.85,1.66,-50.0
58,201611090SAS,SAS,HOU,HOU,3.65,5.25,-50.0
59,201611100DEN,DEN,GSW,GSW,3.7,2.39,69.5
60,201611100MIA,MIA,CHI,CHI,1.05,2.16,-50.0
61,201611100MIL,MIL,NOP,NOP,1.76,2.96,-50.0
62,201611110BOS,BOS,NYK,BOS,1.73,2.93,36.5
63,201611110CHO,CHO,TOR,TOR,2.1,2.0,50.0
64,201611110OKC,OKC,LAC,LAC,2.85,1.66,32.99999999999999
65,201611110ORL,ORL,UTA,UTA,2.9,1.71,35.5
66,201611110PHI,PHI,IND,PHI,3.18,1.95,-50.0
67,201611110POR,POR,SAC,POR,2.64,4.0,82.0
68,201611110SAS,SAS,DET,SAS,3.65,5.25,132.5
69,201611120ATL,ATL,PHI,ATL,15.0,26.25,700.0
70,201611120CHI,CHI,WAS,CHI,4.56,6.43,177.99999999999997
71,201611120DEN,DEN,DET,DET,1.8,3.0,-50.0
72,201611120HOU,HOU,SAS,SAS,2.26,1.14,6.999999999999995
73,201611120IND,IND,BOS,BOS,2.18,1.07,3.500000000000003
74,201611120MIA,MIA,UTA,UTA,2.17,1.06,3.0000000000000027
75,201611120MIL,MIL,MEM,MIL,1.31,2.45,15.500000000000004
76,201611120MIN,MIN,LAC,LAC,3.02,1.81,40.5
77,201611120NOP,NOP,LAL,LAL,2.04,2.06,-50.0
78,201611120PHO,PHO,BRK,BRK,1.91,3.13,-50.0
79,201611130CLE,CLE,CHO,CLE,2.69,4.05,84.5
80,201611130GSW,GSW,PHO,GSW,20.68,46.0,984.0
81,201611130MIN,MIN,LAL,MIN,1.04,2.15,2.0000000000000018
82,201611130OKC,OKC,ORL,ORL,3.9,5.57,-50.0
83,201611140DET,DET,OKC,DET,2.06,2.04,-50.0
84,201611140HOU,HOU,PHI,HOU,6.38,9.0,269.0
85,201611140IND,IND,ORL,IND,2.95,4.37,97.50000000000001
86,201611140LAC,LAC,BRK,LAC,19.5,41.0,925.0
87,201611140NOP,NOP,BOS,NOP,2.6,1.44,-50.0
88,201611140NYK,NYK,DAL,NYK,1.52,2.69,26.0
89,201611140SAS,SAS,MIA,SAS,5.73,8.05,236.50000000000003
90,201611150CLE,CLE,TOR,CLE,2.18,3.45,59.00000000000001
91,201611150MIA,MIA,ATL,ATL,3.8,2.48,74.0
92,201611150MIN,MIN,CHO,CHO,2.08,2.02,51.0
93,201611160ATL,ATL,MIL,ATL,1.86,3.08,43.00000000000001
94,201611160BOS,BOS,DAL,BOS,2.14,3.4,57.00000000000001
