Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
SG,23,OKC,68,1055,10.1,0.56,0.724,0.144,1.9,7.1,4.5,5.5,1.7,0.6,8.3,15.9,,1.2,0.9,2.1,0.096,,-0.3,-2.2,-2.5,-0.1
PF,26,TOT,38,558,11.8,0.565,0.529,0.353,3.9,18,11,4.9,1.2,2,9.7,16.8,,0.5,0.5,0.9,0.082,,-1.8,-1.2,-3,-0.1
PF,26,DAL,6,48,-1.4,0.355,0.412,0.176,4.6,15.2,9.7,0,0,0,9.8,20,,-0.2,0,-0.1,-0.133,,-10.1,-6,-16.2,-0.2
PF,26,BRK,32,510,13.1,0.587,0.542,0.373,3.8,18.2,11.1,5.4,1.3,2.2,9.6,16.5,,0.6,0.5,1.1,0.102,,-1.1,-0.7,-1.8,0
C,23,OKC,80,2389,16.5,0.589,0.002,0.392,13,15.4,14.2,5.4,1.8,2.6,16,16.2,,3.3,3.1,6.5,0.13,,-0.7,1.2,0.6,1.5
SG,31,SAC,61,1580,8.9,0.559,0.36,0.221,0.7,8.4,4.6,7.4,0.7,0.3,8.4,14.4,,1.2,0.2,1.4,0.043,,-1.4,-2.1,-3.5,-0.6
C,28,NOP,39,584,12.9,0.529,0.022,0.225,8.3,23.8,16,3.1,1.7,3.1,13.7,17.2,,0,0.9,1,0.08,,-5.1,1,-4.1,-0.3
C,28,MIN,62,531,12.7,0.549,0,0.256,11,23.9,17.4,6.4,2.4,3.7,15.1,9.4,,0.6,0.7,1.3,0.116,,-2,2.6,0.6,0.4
PF,31,SAS,72,2335,18.6,0.532,0.053,0.258,8.5,16.6,12.7,9.9,1,3,7.7,24.5,,3.5,3.7,7.2,0.149,,-0.3,1.3,1,1.8
PF,27,IND,61,871,11.6,0.485,0.006,0.196,13.7,14.5,14.1,9.1,1,2.4,13.7,10.9,,0.9,0.8,1.7,0.093,,-1.5,1.3,-0.3,0.4
SG,35,MEM,71,1914,13.3,0.493,0.091,0.218,9.6,13.8,11.7,8.4,3.1,1.4,13.3,17.9,,0.2,2.9,3.1,0.077,,-1.8,2.4,0.6,1.3
PF,26,POR,61,1773,11.3,0.506,0.455,0.292,4.8,23.5,14.1,7.9,1.7,2,15.2,15.4,,-0.1,2,1.9,0.051,,-2.3,1.2,-1.1,0.4
C,38,CLE,12,114,11.6,0.497,0.136,0.636,9,20.6,15,5.9,2.2,5,15.1,13,,0.1,0.2,0.2,0.102,,-3.8,3,-0.9,0
SF,34,LAC,30,308,5,0.494,0.55,0.2,1.1,7.4,4.4,4.9,0.5,0,7.4,13.7,,0,0.1,0.1,0.02,,-2.6,-2.3,-4.9,-0.2
