Date,Start (ET),Visitor,PTS-V,Home,PTS-H
Tue Oct 25 2016,7:30p,NYK,88,CHO,117
Tue Oct 25 2016,10:30p,SAS,129,GSW,100
Tue Oct 25 2016,10:00p,UTA,104,POR,113
Wed Oct 26 2016,7:30p,BRK,117,BOS,122
Wed Oct 26 2016,7:00p,DAL,121,IND,130
Wed Oct 26 2016,10:30p,HOU,114,LAL,120
Wed Oct 26 2016,8:00p,MIN,98,MEM,102
Wed Oct 26 2016,8:00p,CHO,107,MIL,96
Wed Oct 26 2016,8:00p,DEN,107,NOP,102
Wed Oct 26 2016,7:00p,MIA,108,ORL,96
Wed Oct 26 2016,8:00p,OKC,103,PHI,97
Wed Oct 26 2016,10:00p,SAC,113,PHO,94
Wed Oct 26 2016,7:30p,DET,91,TOR,109
Thu Oct 27 2016,7:30p,WAS,99,ATL,114
Thu Oct 27 2016,8:00p,BOS,99,CHI,105
Thu Oct 27 2016,10:30p,LAC,114,POR,106
Thu Oct 27 2016,10:30p,SAS,102,SAC,94
Fri Oct 28 2016,7:30p,IND,94,BRK,103
Fri Oct 28 2016,8:30p,HOU,106,DAL,98
Fri Oct 28 2016,7:30p,ORL,82,DET,108
Fri Oct 28 2016,8:00p,CHO,97,MIA,91
Fri Oct 28 2016,9:30p,GSW,122,NOP,114
Fri Oct 28 2016,8:00p,PHO,110,OKC,113
Fri Oct 28 2016,7:00p,CHO,94,TOR,91
Fri Oct 28 2016,9:00p,LAL,89,UTA,96
Sat Oct 29 2016,8:00p,IND,101,CHI,118
Sat Oct 29 2016,7:00p,BOS,104,CHO,98
Sat Oct 29 2016,7:30p,ORL,99,CHO,105
Sat Oct 29 2016,9:00p,POR,115,DEN,113
Sat Oct 29 2016,8:00p,BRK,108,MIL,110
Sat Oct 29 2016,7:30p,MEM,104,NYK,111
Sat Oct 29 2016,12:30p,ATL,104,PHI,72
Sat Oct 29 2016,10:30p,MIN,103,SAC,106
Sat Oct 29 2016,8:00p,NOP,79,SAS,98
Sun Oct 30 2016,6:00p,MIL,83,DET,98
Sun Oct 30 2016,8:00p,DAL,92,HOU,93
Sun Oct 30 2016,4:30p,UTA,75,LAC,88
Sun Oct 30 2016,8:00p,WAS,103,MEM,112
Sun Oct 30 2016,6:00p,SAS,106,MIA,99
Sun Oct 30 2016,7:00p,LAL,96,OKC,113
Sun Oct 30 2016,6:00p,GSW,106,PHO,100
Mon Oct 31 2016,7:30p,SAC,95,ATL,106
Mon Oct 31 2016,7:30p,CHI,118,BRK,88
Mon Oct 31 2016,10:30p,PHO,98,LAC,116
Mon Oct 31 2016,7:30p,DEN,102,TOR,105
Tue Nov 1 2016,6:00p,HOU,120,CHO,128
Tue Nov 1 2016,7:30p,NYK,89,DET,102
Tue Nov 1 2016,7:00p,LAL,108,IND,115
Tue Nov 1 2016,7:30p,SAC,96,MIA,108
Tue Nov 1 2016,8:00p,MEM,80,MIN,116
Tue Nov 1 2016,8:00p,MIL,117,NOP,113
Tue Nov 1 2016,7:00p,ORL,103,PHI,101
Tue Nov 1 2016,10:00p,GSW,127,POR,104
Tue Nov 1 2016,8:30p,UTA,106,SAS,91
Wed Nov 2 2016,7:30p,LAL,123,ATL,116
Wed Nov 2 2016,8:00p,CHI,100,BOS,107
Wed Nov 2 2016,7:30p,DET,101,BRK,109
Wed Nov 2 2016,7:00p,PHI,93,CHO,109
Wed Nov 2 2016,10:30p,OKC,85,LAC,83
Wed Nov 2 2016,8:00p,NOP,83,MEM,89
Wed Nov 2 2016,7:30p,HOU,118,NYK,99
Wed Nov 2 2016,10:00p,POR,115,PHO,118
Wed Nov 2 2016,9:00p,DAL,81,UTA,97
Wed Nov 2 2016,7:00p,TOR,113,WAS,103
Thu Nov 3 2016,8:00p,BOS,122,CHO,128
Thu Nov 3 2016,10:30p,OKC,96,GSW,122
Thu Nov 3 2016,8:00p,IND,107,MIL,125
Thu Nov 3 2016,8:00p,DEN,102,MIN,99
Thu Nov 3 2016,7:00p,SAC,94,ORL,102
Fri Nov 4 2016,7:30p,CHO,99,BRK,95
Fri Nov 4 2016,8:00p,NYK,117,CHI,104
Fri Nov 4 2016,8:30p,POR,105,DAL,95
Fri Nov 4 2016,10:30p,GSW,97,LAL,117
