Date,Start (ET),Visitor/Neutral,PTS-V,Home/Neutral,PTS-H
Tue Oct 17 2017,8:01p,BOS,99,CLE,102
Tue Oct 17 2017,10:30p,HOU,122,GSW,121
Wed Oct 18 2017,7:30p,MIL,108,BOS,100
Wed Oct 18 2017,8:30p,ATL,117,DAL,111
Wed Oct 18 2017,7:00p,CHO,90,DET,102
Wed Oct 18 2017,7:00p,BRK,131,IND,140
Wed Oct 18 2017,8:00p,NOP,91,MEM,103
Wed Oct 18 2017,7:00p,MIA,109,ORL,116
Wed Oct 18 2017,10:00p,POR,124,PHO,76
Wed Oct 18 2017,10:00p,HOU,105,SAC,100
Wed Oct 18 2017,9:30p,MIN,99,SAS,107
Wed Oct 18 2017,9:00p,DEN,96,UTA,106
Wed Oct 18 2017,7:00p,PHI,115,WAS,120
Thu Oct 19 2017,10:30p,LAC,108,LAL,92
Thu Oct 19 2017,8:00p,NYK,84,OKC,105
Thu Oct 19 2017,7:30p,CHI,100,TOR,117
Fri Oct 20 2017,7:30p,ORL,121,BRK,126
Fri Oct 20 2017,7:00p,ATL,91,CHO,109
Fri Oct 20 2017,8:30p,SAC,93,DAL,88
Fri Oct 20 2017,7:00p,POR,114,IND,96
Fri Oct 20 2017,7:00p,CLE,116,MIL,97
Fri Oct 20 2017,8:00p,UTA,97,MIN,100
Fri Oct 20 2017,9:30p,GSW,128,NOP,120
Fri Oct 20 2017,7:00p,BOS,102,PHI,92
Fri Oct 20 2017,10:00p,LAL,132,PHO,130
Fri Oct 20 2017,7:00p,DET,111,WAS,115
Sat Oct 21 2017,8:00p,SAS,87,CHI,77
Sat Oct 21 2017,8:00p,ORL,114,CLE,93
Sat Oct 21 2017,9:00p,SAC,79,DEN,96
Sat Oct 21 2017,8:00p,DAL,91,HOU,107
Sat Oct 21 2017,10:30p,PHO,88,LAC,130
Sat Oct 21 2017,8:00p,GSW,101,MEM,111
Sat Oct 21 2017,8:00p,IND,108,MIA,112
Sat Oct 21 2017,8:30p,POR,110,MIL,113
Sat Oct 21 2017,8:00p,DET,111,NYK,107
Sat Oct 21 2017,7:30p,PHI,94,TOR,128
Sat Oct 21 2017,9:00p,OKC,87,UTA,96
Sun Oct 22 2017,3:30p,ATL,104,BRK,116
Sun Oct 22 2017,9:30p,NOP,119,LAL,112
Sun Oct 22 2017,7:00p,MIN,115,OKC,113
Mon Oct 23 2017,8:30p,GSW,133,DAL,103
Mon Oct 23 2017,9:00p,WAS,109,DEN,104
Mon Oct 23 2017,7:00p,PHI,97,DET,86
Mon Oct 23 2017,8:00p,MEM,98,HOU,90
Mon Oct 23 2017,7:30p,ATL,93,MIA,104
Mon Oct 23 2017,8:00p,CHO,94,MIL,103
Mon Oct 23 2017,10:00p,SAC,115,PHO,117
Mon Oct 23 2017,8:30p,TOR,97,SAS,101
Tue Oct 24 2017,7:30p,NYK,89,BOS,110
Tue Oct 24 2017,7:00p,CHI,112,CLE,119
Tue Oct 24 2017,10:30p,UTA,84,LAC,102
Tue Oct 24 2017,8:00p,IND,130,MIN,107
Tue Oct 24 2017,7:00p,BRK,121,ORL,125
Tue Oct 24 2017,10:00p,NOP,93,POR,103
Wed Oct 25 2017,7:30p,CLE,107,BRK,112
Wed Oct 25 2017,7:00p,DEN,93,CHO,110
Wed Oct 25 2017,8:30p,MEM,94,DAL,103
Wed Oct 25 2017,7:00p,MIN,101,DET,122
Wed Oct 25 2017,10:30p,TOR,112,GSW,117
Wed Oct 25 2017,10:30p,WAS,99,LAL,102
Wed Oct 25 2017,8:00p,SAS,117,MIA,100
Wed Oct 25 2017,8:00p,IND,96,OKC,114
Wed Oct 25 2017,7:00p,HOU,105,PHI,104
Wed Oct 25 2017,10:00p,UTA,88,PHO,97
Thu Oct 26 2017,8:00p,ATL,86,CHI,91
Thu Oct 26 2017,8:00p,DAL,91,MEM,96
Thu Oct 26 2017,8:00p,BOS,96,MIL,89
Thu Oct 26 2017,10:00p,LAC,104,POR,103
Thu Oct 26 2017,10:30p,NOP,114,SAC,106
Fri Oct 27 2017,7:30p,DEN,105,ATL,100
Fri Oct 27 2017,7:00p,HOU,109,CHO,93
Fri Oct 27 2017,10:30p,WAS,117,GSW,120
Fri Oct 27 2017,10:30p,TOR,101,LAL,92
Fri Oct 27 2017,8:00p,OKC,116,MIN,119
Fri Oct 27 2017,7:30p,BRK,86,NYK,107
Fri Oct 27 2017,7:00p,SAS,87,ORL,114
Sat Oct 28 2017,8:00p,OKC,101,CHI,69
Sat Oct 28 2017,8:30p,PHI,112,DAL,110
Sat Oct 28 2017,10:30p,DET,95,LAC,87
Sat Oct 28 2017,8:00p,HOU,89,MEM,103
Sat Oct 28 2017,8:00p,BOS,96,MIA,90
Sat Oct 28 2017,7:00p,CLE,101,NOP,123
Sat Oct 28 2017,10:00p,PHO,107,POR,114
Sat Oct 28 2017,9:00p,LAL,81,UTA,96
Sun Oct 29 2017,3:30p,MIL,117,ATL,106
Sun Oct 29 2017,6:00p,DEN,124,BRK,111
Sun Oct 29 2017,6:00p,ORL,113,CHO,120
Sun Oct 29 2017,7:00p,NYK,114,CLE,95
Sun Oct 29 2017,8:30p,DET,115,GSW,107
Sun Oct 29 2017,4:30p,SAS,94,IND,97
Sun Oct 29 2017,6:00p,WAS,110,SAC,83
Mon Oct 30 2017,7:30p,SAS,94,BOS,108
Mon Oct 30 2017,8:00p,PHI,115,HOU,107
Mon Oct 30 2017,10:30p,GSW,141,LAC,113
Mon Oct 30 2017,8:00p,CHO,104,MEM,99
Mon Oct 30 2017,7:30p,MIN,125,MIA,122
Mon Oct 30 2017,8:00p,ORL,115,NOP,99
Mon Oct 30 2017,7:30p,DEN,110,NYK,116
Mon Oct 30 2017,10:00p,TOR,99,POR,85
Mon Oct 30 2017,9:00p,DAL,89,UTA,104
Tue Oct 31 2017,7:30p,PHO,122,BRK,114
Tue Oct 31 2017,7:00p,SAC,83,IND,101
Tue Oct 31 2017,10:30p,DET,93,LAL,113
Tue Oct 31 2017,8:00p,OKC,110,MIL,91
Wed Nov 1 2017,7:30p,SAC,86,BOS,113
Wed Nov 1 2017,7:00p,MIL,121,CHO,126
Wed Nov 1 2017,7:00p,IND,124,CLE,107
Wed Nov 1 2017,9:00p,TOR,111,DEN,129
Wed Nov 1 2017,10:30p,DAL,98,LAC,119
