,PER,TS%,3PAr,FTr,ORB%,AST%,TOV%,PT,W/L
0,[1.07894737],[0.00715461],[0.01921053],[-0.031875],[0.87664474],[-0.17203947],[1.68782895],-29.0,0.0
1,[-0.60036765],[0.00135662],[0.06919853],[-0.06650735],[-2.09191176],[0.93529412],[-1.07169118],29.0,1.0
2,[0.94666667],[0.00886667],[-0.0136],[0.00266667],[-0.44666667],[-0.65333333],[-1.42666667],-9.0,0.0
3,[-2.27238095],[-0.02419048],[0.03531429],[-0.04291429],[-1.06],[-1.38285714],[2.82],-5.0,0.0
4,[-1.77291667],[-0.02927083],[0.10266667],[-0.000375],[0.0375],[0.88333333],[0.82291667],-9.0,0.0
5,[-0.61666667],[0.02566667],[0.14827778],[0.00266667],[-0.3],[-1.45],[-0.11666667],-6.0,0.0
6,[0.22279412],[-0.00622059],[-0.05312868],[-0.06487868],[0.66985294],[-0.52904412],[1.02352941],-4.0,0.0
7,[1.25789474],[0.03515789],[-0.12526316],[0.09310526],[1.75789474],[1.77368421],[0.45789474],11.0,1.0
8,[2.3917004],[0.0085],[-0.06124899],[0.0525081],[3.22267206],[2.65202429],[2.48947368],5.0,1.0
9,[2.35789474],[0.04298596],[-0.01982807],[-0.00209123],[0.43649123],[-0.03614035],[-2.11649123],12.0,1.0
10,[-0.99573935],[-0.02195739],[0.01577444],[-0.06215789],[-0.53132832],[-1.86566416],[-2.68220551],6.0,1.0
11,[1.47017544],[0.03866082],[0.00436257],[-0.06647953],[-1.13304094],[3.79181287],[1.45935673],19.0,1.0
12,[2.74222222],[0.071],[-0.00932222],[0.12086667],[1.08777778],[2.26222222],[-0.08111111],-6.0,0.0
13,[-0.06],[-0.01246667],[-0.008],[0.00073333],[-0.76],[-1.3],[-2.76],8.0,1.0
14,[0.35690789],[0.01195724],[-0.01509868],[0.01874342],[0.04276316],[0.35263158],[0.94967105],8.0,1.0
15,[0.24196429],[-0.01995536],[-0.15367262],[-0.04595238],[0.34166667],[0.23452381],[-1.48958333],-9.0,0.0
16,[1.91111111],[0.06369444],[0.07206944],[0.01404167],[0.05972222],[-1.89722222],[0.15555556],8.0,1.0
17,[-2.61789474],[-0.0179193],[0.06049474],[0.04122456],[-0.63649123],[-0.91719298],[3.36315789],-26.0,0.0
18,[-0.37894737],[-0.00577544],[-0.07027719],[0.05293333],[0.36877193],[1.26245614],[-0.07824561],6.0,1.0
19,[1.75950226],[-0.00379412],[-0.12286199],[0.00607466],[2.9678733],[1.63778281],[3.55294118],8.0,1.0
20,[-0.22807018],[-0.00850292],[-0.02052047],[0.08326901],[0.30672515],[-0.55497076],[1.03538012],-3.0,0.0
21,[-0.97555556],[-0.02558889],[-0.0459],[-0.02093333],[0.27222222],[1.18111111],[0.51222222],-7.0,0.0
22,[0.71180556],[0.02685417],[-0.12768056],[0.032],[0.36944444],[1.11388889],[1.24930556],-17.0,0.0
23,[2.36561404],[0.04617544],[0.09594386],[0.02586667],[0.15122807],[1.05754386],[-0.85508772],6.0,1.0
24,[-1.97894737],[-0.03721053],[0.09010526],[-0.05084211],[-0.80526316],[-1.22631579],[2.19473684],-6.0,0.0
25,[-1.68631579],[-0.02933333],[0.01954386],[-0.09104912],[-1.33754386],[-1.64561404],[-0.13614035],2.0,1.0
26,[1.35112782],[0.05714286],[0.00599499],[0.07605764],[0.84912281],[1.44837093],[2.42280702],-2.0,0.0
27,[-1.33529412],[-0.00684191],[0.03194118],[0.01681618],[-1.50110294],[-0.60845588],[-0.97977941],-7.0,0.0
28,[-2.74547619],[-0.04595476],[0.01309286],[0.0811],[-1.74738095],[0.12880952],[-1.33404762],32.0,1.0
29,[-1.24934211],[-0.03985526],[-0.06866118],[-0.00556908],[1.09276316],[-2.34111842],[0.06842105],-3.0,0.0
30,[-1.15913462],[0.0024375],[0.05366346],[0.06043269],[-0.87596154],[-2.57307692],[-2.48125],-19.0,0.0
31,[-1.89684211],[-0.01586667],[0.09565263],[-0.0010386],[-1.58912281],[-1.4645614],[0.71052632],-15.0,0.0
32,[-1.91111111],[-0.06369444],[-0.07206944],[-0.01404167],[-0.05972222],[1.89722222],[-0.15555556],-1.0,0.0
33,[1.00666667],[0.02133333],[-0.0056],[0.00193333],[0.31333333],[0.64666667],[1.33333333],-13.0,0.0
34,[1.19375],[0.04012917],[-0.01869167],[-0.00269167],[-0.63583333],[2.64666667],[2.53458333],7.0,1.0
35,[1.11637427],[0.00699708],[-0.07879825],[0.03915789],[0.05116959],[2.5505848],[2.40204678],-17.0,0.0
36,[2.42745098],[0.04926144],[-0.07993464],[0.01877124],[1.00163399],[3.20915033],[3.48071895],6.0,1.0
37,[2.99184211],[0.05415526],[-0.01347632],[-0.12646842],[0.38973684],[1.24236842],[1.14657895],-11.0,0.0
38,[-0.46984127],[-0.04680952],[-0.02599206],[-0.07795238],[-0.02777778],[-0.87936508],[-2.73888889],30.0,1.0
39,[-1.31333333],[-0.01975556],[0.00677778],[0.02511111],[0.84111111],[-1.27777778],[0.47888889],-18.0,0.0
40,[0.47339181],[0.03645322],[0.15232164],[-0.04933333],[-0.46988304],[-1.10467836],[1.45380117],-8.0,0.0
41,[0.44],[0.02644583],[-0.0104],[0.06019167],[1.04541667],[0.13708333],[2.85625],-13.0,0.0
42,[0.75486111],[0.00875694],[0.02645833],[0.011],[0.39722222],[0.43611111],[1.09513889],-7.0,0.0
43,[0.83684211],[0.02817193],[-0.00359298],[-0.02143509],[-0.67859649],[2.29403509],[1.58491228],-12.0,0.0
44,[-0.22279412],[0.00622059],[0.05312868],[0.06487868],[-0.66985294],[0.52904412],[-1.02352941],-36.0,0.0
45,[-1.67145749],[-0.0835],[0.02001417],[-0.09791296],[0.12267206],[-0.58481781],[-0.58947368],4.0,1.0
46,[-2.94837093],[-0.06295739],[0.02303759],[-0.02184211],[-1.11553885],[-0.88671679],[0.34411028],2.0,1.0
47,[1.05411765],[0.01703922],[-0.08115686],[0.04461569],[1.0827451],[0.63137255],[1.19960784],23.0,1.0
48,[0.49291667],[-0.00952917],[-0.00164167],[0.02455833],[0.5625],[-2.22],[-1.55458333],15.0,1.0
49,[2.86611111],[0.03099444],[-0.07611667],[-0.1041],[1.26722222],[0.55611111],[1.05388889],7.0,1.0
50,[-2.74222222],[-0.071],[0.00932222],[-0.12086667],[-1.08777778],[-2.26222222],[0.08111111],-7.0,0.0
51,[0.54571429],[-0.04127619],[-0.10164762],[-0.07501905],[0.74],[0.01619048],[-3.13333333],-8.0,0.0
52,[0.96942356],[0.02574687],[0.06706767],[-0.029],[0.31027569],[-0.339599],[1.85062657],-16.0,0.0
53,[-1.08526316],[-0.01125263],[0.02729825],[-0.05815789],[0.53438596],[-0.72280702],[-0.55649123],2.0,1.0
54,[0.6699095],[0.04802941],[0.05409729],[0.01986652],[-1.2561086],[-0.40837104],[-0.57647059],-6.0,0.0
55,[-0.60555556],[0.02929861],[0.13311111],[-0.01745833],[-1.34652778],[-0.93263889],[-0.23402778],19.0,1.0
