,Unnamed: 0,game_id,game_date,matchup,team_id,is_home,wl,w,l,w_pct,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,a_team_id,season_year,season_type,season
0,835,21600745,2017-02-02,GSW @ LAC,LAC,t,L,31.0,19.0,0.62,240,40.0,80.0,0.5,10.0,25.0,0.4,30.0,39.0,1.0,9.0,28.0,37,24.0,7.0,7.0,15.0,18.0,120,GSW,2016,Regular Season,2016-17
4,839,21600601,2017-01-14,LAL @ LAC,LAC,t,W,28.0,14.0,0.667,240,48.0,92.0,0.522,10.0,28.0,0.35700000000000004,7.0,8.0,1.0,7.0,35.0,42,28.0,6.0,6.0,7.0,24.0,113,LAL,2016,Regular Season,2016-17
5,840,21600519,2017-01-02,PHX @ LAC,LAC,t,W,23.0,14.0,0.622,240,37.0,80.0,0.463,7.0,16.0,0.438,28.0,38.0,1.0,12.0,39.0,51,17.0,1.0,11.0,19.0,21.0,109,PHO,2016,Regular Season,2016-17
7,2004,21601156,2017-04-04,ORL @ CLE,CLE,t,W,50.0,27.0,0.649,240,44.0,82.0,0.537,18.0,36.0,0.5,16.0,21.0,1.0,5.0,37.0,42,30.0,9.0,3.0,12.0,18.0,122,ORL,2016,Regular Season,2016-17
8,2005,21600338,2016-12-09,MIA @ CLE,CLE,t,W,16.0,5.0,0.762,240,46.0,83.0,0.5539999999999999,9.0,24.0,0.375,13.0,19.0,1.0,11.0,36.0,47,23.0,7.0,9.0,11.0,16.0,114,MIA,2016,Regular Season,2016-17
11,2008,21600227,2016-11-25,DAL @ CLE,CLE,t,W,12.0,2.0,0.857,240,43.0,85.0,0.506,20.0,43.0,0.465,22.0,24.0,1.0,9.0,38.0,47,30.0,9.0,3.0,14.0,16.0,128,DAL,2016,Regular Season,2016-17
12,2009,41600404,2017-06-09,GSW @ CLE,CLE,t,W,1.0,3.0,0.25,240,46.0,87.0,0.529,24.0,45.0,0.5329999999999999,21.0,31.0,1.0,11.0,30.0,41,27.0,6.0,3.0,11.0,24.0,137,GSW,2016,Playoffs,2016-17
14,2012,21600478,2016-12-28,NYK @ ATL,ATL,t,W,16.0,16.0,0.5,265,37.0,101.0,0.366,7.0,27.0,0.259,21.0,27.0,1.0,17.0,38.0,55,19.0,8.0,3.0,13.0,19.0,102,NYK,2016,Regular Season,2016-17
15,2013,21601204,2017-04-10,BKN @ BOS,BOS,t,W,52.0,29.0,0.642,240,41.0,91.0,0.451,14.0,38.0,0.368,18.0,21.0,1.0,9.0,42.0,51,31.0,7.0,4.0,13.0,23.0,114,BRK,2016,Regular Season,2016-17
16,2014,21600472,2016-12-27,MEM @ BOS,BOS,t,W,19.0,13.0,0.594,240,41.0,85.0,0.482,12.0,31.0,0.387,19.0,21.0,1.0,14.0,33.0,47,30.0,6.0,7.0,17.0,24.0,113,MEM,2016,Regular Season,2016-17
18,2016,21600225,2016-11-25,SAS @ BOS,BOS,t,L,9.0,7.0,0.563,240,42.0,91.0,0.462,12.0,34.0,0.353,7.0,9.0,1.0,8.0,28.0,36,32.0,8.0,4.0,10.0,21.0,103,SAS,2016,Regular Season,2016-17
