game_id,game_date,matchup,team_id,is_home,wl,w,l,w_pct,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,a_team_id,season_year,season_type,season
21600745,2017-02-02,GSW @ LAC,LAC,t,L,31,19,0.62,240,40,80,0.5,10,25,0.4,30,39,1,9,28,37,24,7,7,15,18,120,GSW,2016,Regular Season,2016-17
21600601,2017-01-14,LAL @ LAC,LAC,t,W,28,14,0.667,240,48,92,0.522,10,28,0.357,7,8,1,7,35,42,28,6,6,7,24,113,LAl,2016,Regular Season,2016-17
21600519,2017-01-02,PHX @ LAC,LAC,t,W,23,14,0.622,240,37,80,0.463,7,16,0.438,28,38,1,12,39,51,17,1,11,19,21,109,PHO,2016,Regular Season,2016-17
21601156,2017-04-04,ORL @ CLE,CLE,t,W,50,27,0.649,240,44,82,0.537,18,36,0.5,16,21,1,5,37,42,30,9,3,12,18,122,ORL,2016,Regular Season,2016-17
21600338,2016-12-09,MIA @ CLE,CLE,t,W,16,5,0.762,240,46,83,0.554,9,24,0.375,13,19,1,11,36,47,23,7,9,11,16,114,MIA,2016,Regular Season,2016-17
21600227,2016-11-25,DAL @ CLE,CLE,t,W,12,2,0.857,240,43,85,0.506,20,43,0.465,22,24,1,9,38,47,30,9,3,14,16,128,DAL,2016,Regular Season,2016-17
41600404,2017-06-09,GSW @ CLE,CLE,t,W,1,3,0.25,240,46,87,0.529,24,45,0.533,21,31,1,11,30,41,27,6,3,11,24,137,GSW,2016,Playoffs,2016-17
21600478,2016-12-28,NYK @ ATL,ATL,t,W,16,16,0.5,265,37,101,0.366,7,27,0.259,21,27,1,17,38,55,19,8,3,13,19,102,NYK,2016,Regular Season,2016-17
21601204,2017-04-10,BKN @ BOS,BOS,t,W,52,29,0.642,240,41,91,0.451,14,38,0.368,18,21,1,9,42,51,31,7,4,13,23,114,BRK,2016,Regular Season,2016-17
21600472,2016-12-27,MEM @ BOS,BOS,t,W,19,13,0.594,240,41,85,0.482,12,31,0.387,19,21,1,14,33,47,30,6,7,17,24,113,MEM,2016,Regular Season,2016-17
21600225,2016-11-25,SAS @ BOS,BOS,t,L,9,7,0.563,240,42,91,0.462,12,34,0.353,7,9,1,8,28,36,32,8,4,10,21,103,SAS,2016,Regular Season,2016-17
21600571,2017-01-10,CHI @ WAS,WAS,t,W,19,18,0.514,240,42,83,0.506,11,22,0.5,6,9,1,7,35,42,24,8,6,21,24,101,CHI,2016,Regular Season,2016-17
21600107,2016-11-09,BOS @ WAS,WAS,t,W,2,5,0.286,240,46,92,0.5,10,21,0.476,16,20,1,19,35,54,29,9,7,11,26,118,BOS,2016,Regular Season,2016-17
21600070,2016-11-04,ATL @ WAS,WAS,t,W,1,3,0.25,240,31,80,0.388,5,20,0.25,28,35,1,11,35,46,13,7,3,19,23,95,ATL,2016,Regular Season,2016-17
21600082,2016-11-05,DEN @ DET,DET,t,W,4,2,0.667,240,40,84,0.476,7,20,0.35,16,22,1,9,38,47,22,9,9,13,16,103,DEN,2016,Regular Season,2016-17
21600398,2016-12-16,DAL @ UTA,UTA,t,W,17,10,0.63,240,37,65,0.569,8,22,0.364,21,27,1,8,33,41,18,4,3,16,23,103,DAL,2016,Regular Season,2016-17
21600354,2016-12-10,SAC @ UTA,UTA,t,W,15,10,0.6,240,37,77,0.481,13,29,0.448,17,18,1,13,41,54,23,9,10,22,16,104,SAC,2016,Regular Season,2016-17
21600335,2016-12-08,GSW @ UTA,UTA,t,L,14,10,0.583,240,37,89,0.416,10,38,0.263,15,21,1,12,34,46,20,8,2,15,22,99,GSW,2016,Regular Season,2016-17
21600297,2016-12-03,DEN @ UTA,UTA,t,W,12,9,0.571,240,35,78,0.449,9,25,0.36,26,28,1,7,33,40,20,8,3,9,13,105,DEN,2016,Regular Season,2016-17
21600280,2016-12-01,MIA @ UTA,UTA,t,L,11,9,0.55,240,40,73,0.548,17,30,0.567,13,17,1,5,26,31,24,5,8,11,14,110,MIA,2016,Regular Season,2016-17
21600265,2016-11-29,HOU @ UTA,UTA,t,W,11,8,0.579,240,41,74,0.554,15,28,0.536,23,27,1,5,35,40,23,4,5,8,20,120,HOU,2016,Regular Season,2016-17
21600961,2017-03-09,LAC @ MEM,MEM,t,L,36,29,0.554,240,37,83,0.446,7,20,0.35,17,22,1,6,28,34,26,6,2,9,22,98,LAC,2016,Regular Season,2016-17
21600892,2017-02-28,PHX @ MEM,MEM,t,W,36,25,0.59,240,48,86,0.558,12,25,0.48,22,29,1,12,27,39,24,6,3,10,19,130,PHO,2016,Regular Season,2016-17
21600318,2016-12-06,PHI @ MEM,MEM,t,W,15,8,0.652,240,33,86,0.384,2,17,0.118,28,35,1,12,41,53,18,8,5,13,25,96,PHI,2016,Regular Season,2016-17
21600278,2016-12-01,ORL @ MEM,MEM,t,W,12,8,0.6,240,33,79,0.418,7,18,0.389,22,28,1,8,31,39,18,9,9,10,25,95,ORL,2016,Regular Season,2016-17
21600233,2016-11-25,MIA @ MEM,MEM,t,L,10,6,0.625,240,29,82,0.354,4,19,0.211,19,23,1,16,35,51,14,3,14,17,16,81,MIA,2016,Regular Season,2016-17
21600459,2016-12-25,MIN @ OKC,OKC,t,W,19,12,0.613,240,42,82,0.512,8,24,0.333,20,24,1,9,33,42,26,8,4,15,24,112,MIN,2016,Regular Season,2016-17
21600341,2016-12-09,HOU @ OKC,OKC,t,L,14,9,0.609,240,34,81,0.42,7,28,0.25,24,31,1,9,37,46,18,9,5,17,19,99,HOU,2016,Regular Season,2016-17
41600163,2017-04-21,HOU @ OKC,OKC,t,W,1,2,0.333,240,46,83,0.554,9,19,0.474,14,23,1,9,31,40,24,8,5,11,21,115,HOU,2016,Playoffs,2016-17
21600409,2016-12-18,TOR @ ORL,ORL,t,L,12,17,0.414,240,34,83,0.41,3,21,0.143,8,9,1,10,32,42,13,5,3,19,17,79,TOR,2016,Regular Season,2016-17
21600713,2017-01-29,HOU @ IND,IND,t,W,25,22,0.532,240,47,87,0.54,5,21,0.238,21,26,1,7,35,42,28,9,7,10,21,120,HOU,2016,Regular Season,2016-17
21600616,2017-01-16,NOP @ IND,IND,t,W,21,19,0.525,240,41,81,0.506,5,19,0.263,11,16,1,5,40,45,26,11,6,16,18,98,NOP,2016,Regular Season,2016-17
21601188,2017-04-08,CHI @ BKN,BRK,t,W,20,60,0.25,240,39,92,0.424,10,31,0.323,19,24,1,10,34,44,24,15,6,13,13,107,CHI,2016,Regular Season,2016-17
21600515,2017-01-02,UTA @ BKN,BRK,t,L,8,25,0.242,240,33,78,0.423,6,27,0.222,17,23,1,8,36,44,13,5,5,15,20,89,UTA,2016,Regular Season,2016-17
21601001,2017-03-14,IND @ NYK,NYK,t,W,27,41,0.397,240,35,83,0.422,9,28,0.321,8,13,1,11,41,52,21,8,4,14,15,87,IND,2016,Regular Season,2016-17
21600638,2017-01-19,WAS @ NYK,NYK,t,L,19,25,0.432,240,42,90,0.467,7,24,0.292,19,22,1,14,27,41,20,7,4,10,14,110,WAS,2016,Regular Season,2016-17
21601216,2017-04-11,PHX @ SAC,SAC,t,W,32,49,0.395,240,43,83,0.518,9,19,0.474,34,43,1,8,47,55,28,7,2,13,23,129,PHO,2016,Regular Season,2016-17
21600408,2016-12-18,BKN @ PHI,PHI,t,W,7,20,0.259,240,38,88,0.432,12,28,0.429,20,23,1,13,34,47,23,5,5,17,18,108,BRK,2016,Regular Season,2016-17
21600304,2016-12-05,DEN @ PHI,PHI,t,L,4,17,0.19,240,35,86,0.407,11,31,0.355,17,23,1,12,32,44,20,12,10,17,25,98,DEN,2016,Regular Season,2016-17
21601026,2017-03-17,ORL @ PHX,PHO,t,L,22,47,0.319,240,38,87,0.437,2,14,0.143,25,30,1,12,37,49,18,9,8,16,22,103,ORL,2016,Regular Season,2016-17
21601012,2017-03-15,SAC @ PHX,PHO,t,L,22,46,0.324,240,43,107,0.402,6,25,0.24,9,14,1,16,31,47,24,9,11,13,25,101,SAC,2016,Regular Season,2016-17
21600591,2017-01-12,DAL @ PHX,PHO,t,L,12,27,0.308,240,38,78,0.487,10,18,0.556,22,27,1,13,34,47,15,2,4,19,23,108,DAL,2016,Regular Season,2016-17
21601042,2017-03-19,SAC @ SAS,SAS,t,W,53,16,0.768,240,43,87,0.494,11,28,0.393,21,27,1,15,30,45,31,9,3,6,20,118,SAC,2016,Regular Season,2016-17
21600925,2017-03-04,MIN @ SAS,SAS,t,W,48,13,0.787,265,38,94,0.404,6,24,0.25,15,24,1,17,32,49,16,10,8,12,17,97,MIN,2016,Regular Season,2016-17
21600086,2016-11-05,LAC @ SAS,SAS,t,L,5,2,0.714,240,30,74,0.405,10,25,0.4,22,25,1,7,33,40,19,5,5,15,18,92,LAC,2016,Regular Season,2016-17
