person_id,display_last_comma_first,display_first_last,rosterstatus,from_year,to_year,playercode,games_played_flag,position,draft_year,draft_round,draft_num,birth_date,height_feet,height_inches,height,weight,season_exp,jersey,school,country,last_affiliation
76001,"Abdelnaby, Alaa",Alaa Abdelnaby,f,1990,1994,HISTADD_alaa_abdelnaby,Y,Forward,1990,1,,,6,10,6.83333333333333,240,4,30,Duke,USA,Duke/USA
76002,"Abdul-Aziz, Zaid",Zaid Abdul-Aziz,f,1968,1977,HISTADD_zaid_abdul-aziz,Y,Center,1968,1,,,6,9,6.75,235,9,54,Iowa State,USA,Iowa State/USA
76003,"Abdul-Jabbar, Kareem",Kareem Abdul-Jabbar,f,1969,1988,HISTADD_kareem_abdul-jabbar,Y,Center,1969,1,,,7,2,7.16666666666667,225,19,33,UCLA,USA,UCLA/USA
51,"Abdul-Rauf, Mahmoud",Mahmoud Abdul-Rauf,f,1990,2000,mahmoud_abdul-rauf,Y,Guard,1990,1,,,6,1,6.08333333333333,162,8,1,Louisiana State,USA,Louisiana State/USA
1505,"Abdul-Wahad, Tariq",Tariq Abdul-Wahad,f,1997,2003,tariq_abdul-wahad,Y,Forward-Guard,1997,1,,,6,6,6.5,235,6,9,San Jose State,France,San Jose State/France
949,"Abdur-Rahim, Shareef",Shareef Abdur-Rahim,f,1996,2007,shareef_abdur-rahim,Y,Forward,1996,1,,,6,9,6.75,245,12,3,California,USA,California/USA
76005,"Abernethy, Tom",Tom Abernethy,f,1976,1980,HISTADD_tom_abernethy,Y,Forward,1976,3,,,6,7,6.58333333333333,220,4,5,Indiana,USA,Indiana/USA
76006,"Able, Forest",Forest Able,f,1956,1956,HISTADD_frosty_able,Y,Guard,1956,,,,6,3,6.25,180,0,6,Western Kentucky,USA,Western Kentucky; Louisville/USA
76007,"Abramovic, John",John Abramovic,f,1946,1947,HISTADD_brooms_abramovic,Y,Forward,,,,,6,3,6.25,195,1,,Salem International,USA,Salem (NC)/USA
203518,"Abrines, Alex",Alex Abrines,t,2016,2018,alex_abrines,Y,Guard,2013,2,,,6,6,6.5,190,2,8,,Spain,Spain/Spain
