,boxscore,away_name,away_abbr,away_score,home_name,home_abbr,home_score,winning_name,winning_abbr,losing_name,losing_abbr
0,201610250CLE,New York,NYK,88,Cleveland,CLE,117,Cleveland,CLE,New York,NYK
1,201610250GSW,San Antonio,SAS,129,Golden State,GSW,100,San Antonio,SAS,Golden State,GSW
2,201610260BOS,Brooklyn,BRK,117,Boston,BOS,122,Boston,BOS,Brooklyn,BRK
3,201610260IND,Dallas,DAL,121,Indiana,IND,130,Indiana,IND,Dallas,DAL
4,201610260LAL,Houston,HOU,114,LA Lakers,LAL,120,LA Lakers,LAL,Houston,HOU
5,201610260MEM,Minnesota,MIN,98,Memphis,MEM,102,Memphis,MEM,Minnesota,MIN
6,201610260MIL,Charlotte,CHO,107,Milwaukee,MIL,96,Charlotte,CHO,Milwaukee,MIL
7,201610260NOP,Denver,DEN,107,New Orleans,NOP,102,Denver,DEN,New Orleans,NOP
8,201610260ORL,Miami,MIA,108,Orlando,ORL,96,Miami,MIA,Orlando,ORL
9,201610260PHI,Oklahoma City,OKC,103,Philadelphia,PHI,97,Oklahoma City,OKC,Philadelphia,PHI
10,201610260PHO,Sacramento,SAC,113,Phoenix,PHO,94,Sacramento,SAC,Phoenix,PHO
11,201610270ATL,Washington,WAS,99,Atlanta,ATL,114,Atlanta,ATL,Washington,WAS
12,201610270CHI,Boston,BOS,99,Chicago,CHI,105,Chicago,CHI,Boston,BOS
13,201610270POR,LA Clippers,LAC,114,Portland,POR,106,LA Clippers,LAC,Portland,POR
14,201610280BRK,Indiana,IND,94,Brooklyn,BRK,103,Brooklyn,BRK,Indiana,IND
15,201610280DAL,Houston,HOU,106,Dallas,DAL,98,Houston,HOU,Dallas,DAL
16,201610280DET,Orlando,ORL,82,Detroit,DET,108,Detroit,DET,Orlando,ORL
17,201610280MIA,Charlotte,CHO,97,Miami,MIA,91,Charlotte,CHO,Miami,MIA
18,201610280NOP,Golden State,GSW,122,New Orleans,NOP,114,Golden State,GSW,New Orleans,NOP
19,201610280OKC,Phoenix,PHO,110,Oklahoma City,OKC,113,Oklahoma City,OKC,Phoenix,PHO
20,201610280TOR,Cleveland,CLE,94,Toronto,TOR,91,Cleveland,CLE,Toronto,TOR
21,201610290CHI,Indiana,IND,101,Chicago,CHI,118,Chicago,CHI,Indiana,IND
22,201610290CHO,Boston,BOS,104,Charlotte,CHO,98,Boston,BOS,Charlotte,CHO
23,201610290CLE,Orlando,ORL,99,Cleveland,CLE,105,Cleveland,CLE,Orlando,ORL
24,201610290DEN,Portland,POR,115,Denver,DEN,113,Portland,POR,Denver,DEN
25,201610290MIL,Brooklyn,BRK,108,Milwaukee,MIL,110,Milwaukee,MIL,Brooklyn,BRK
26,201610290NYK,Memphis,MEM,104,New York,NYK,111,New York,NYK,Memphis,MEM
27,201610290PHI,Atlanta,ATL,104,Philadelphia,PHI,72,Atlanta,ATL,Philadelphia,PHI
28,201610290SAC,Minnesota,MIN,103,Sacramento,SAC,106,Sacramento,SAC,Minnesota,MIN
29,201610300DET,Milwaukee,MIL,83,Detroit,DET,98,Detroit,DET,Milwaukee,MIL
