,game_id,book_name,team_id,a_team_id,boxscore,home_odds,away_odds
0,21600048,Pinnacle Sports,LAL,IND,201611010IND,3.8,5.44
1,21600060,Pinnacle Sports,NOP,MEM,201611020MEM,1.86,3.08
2,21600063,Pinnacle Sports,POR,PHO,201611020PHO,2.5,1.34
3,21600066,Pinnacle Sports,IND,MIL,201611030MIL,2.45,1.31
4,21600069,Pinnacle Sports,OKC,GSW,201611030GSW,7.5,10.72
5,21600071,Pinnacle Sports,MIA,TOR,201611040TOR,2.6,3.95
6,21600073,Pinnacle Sports,NYK,CHI,201611040CHI,2.73,4.1
7,21600077,Pinnacle Sports,SAS,UTA,201611040UTA,2.65,1.49
8,21600078,Pinnacle Sports,GSW,LAL,201611040LAl,9,6.38
9,21600083,Pinnacle Sports,CHI,IND,201611050IND,1.52,2.69
10,21600090,Pinnacle Sports,MIL,DAL,201611060DAL,1.31,2.45
11,21600095,Pinnacle Sports,IND,CHO,201611070CHO,1.27,2.4
12,21600096,Pinnacle Sports,ORL,CHI,201611070CHI,2.52,3.85
13,21600099,Pinnacle Sports,NOP,GSW,201611070GSW,21.73,51
14,21600102,Pinnacle Sports,DEN,MEM,201611080MEM,1.58,2.75
15,21600106,Pinnacle Sports,BRK,NYK,201611090NYK,2.99,4.42
16,21600108,Pinnacle Sports,UTA,CHO,201611090CHO,1.37,2.52
17,21600111,Pinnacle Sports,CHI,ATL,201611090ATL,1.42,2.57
18,21600116,Pinnacle Sports,DAL,GSW,201611090GSW,19.99,43
19,21600132,Pinnacle Sports,PHI,ATL,201611120ATL,15,26.25
20,21600131,Pinnacle Sports,NYK,TOR,201611120TOR,2.77,4.15
21,21600136,Pinnacle Sports,UTA,MIA,201611120MIA,2.17,1.06
22,21600133,Pinnacle Sports,WAS,CHI,201611120CHI,4.56,6.43
23,21600137,Pinnacle Sports,MEM,MIL,201611120MIL,1.31,2.45
24,21600143,Pinnacle Sports,PHO,GSW,201611130GSW,20.68,46
25,21600145,Pinnacle Sports,ORL,IND,201611140IND,2.95,4.37
26,21600159,Pinnacle Sports,NOP,ORL,201611160ORL,2.88,4.29
27,21600167,Pinnacle Sports,MEM,LAC,201611160LAC,9.16,13.5
28,21600169,Pinnacle Sports,NYK,WAS,201611170WAS,1.86,3.07
29,21600172,Pinnacle Sports,PHI,MIN,201611170MIN,6.51,9.2
30,21600176,Pinnacle Sports,PHO,IND,201611180IND,1.73,2.93
31,21600184,Pinnacle Sports,UTA,HOU,201611190HOU,2.56,3.9
32,21600188,Pinnacle Sports,BOS,DET,201611190DET,1.14,2.26
33,21600189,Pinnacle Sports,PHO,PHI,201611190PHI,2.2,1.09
34,21600195,Pinnacle Sports,IND,OKC,201611200OKC,4.04,5.75
35,21600196,Pinnacle Sports,TOR,SAC,201611200SAC,2.62,1.46
36,21600197,Pinnacle Sports,UTA,DEN,201611200DEN,1.5,2.66
37,21600202,Pinnacle Sports,GSW,IND,201611210IND,26.86,15.23
38,21600213,Pinnacle Sports,SAS,CHO,201611230CHO,3.13,1.91
39,21600221,Pinnacle Sports,DEN,UTA,201611230UTA,2.95,4.37
40,21600223,Pinnacle Sports,LAL,GSW,201611230GSW,22.67,56
41,21600233,Pinnacle Sports,MIA,MEM,201611250MEM,1.69,2.88
42,21600234,Pinnacle Sports,BRK,IND,201611250IND,1.95,3.18
43,21600236,Pinnacle Sports,MIN,PHO,201611250PHO,2.4,1.27
44,21600242,Pinnacle Sports,DET,OKC,201611260OKC,1.69,2.88
45,21600247,Pinnacle Sports,SAC,BRK,201611270BRK,2.95,1.75
46,21600248,Pinnacle Sports,MIL,ORL,201611270ORL,1.15,2.27
47,21600251,Pinnacle Sports,HOU,POR,201611270POR,2.2,1.09
48,21600257,Pinnacle Sports,CHO,MEM,201611280MEM,2.25,1.13
49,21600268,Pinnacle Sports,MEM,TOR,201611300TOR,9,13.22
50,21600267,Pinnacle Sports,DET,BOS,201611300BOS,2.39,3.7
51,21600269,Pinnacle Sports,LAL,CHI,201611300CHI,4.8,6.75
52,21600277,Pinnacle Sports,MIL,BRK,201612010BRK,3.13,1.91
53,21600279,Pinnacle Sports,LAC,CLE,201612010CLE,1.49,2.65
54,21600282,Pinnacle Sports,ORL,PHI,201612020PHI,2.03,2.07
55,21600290,Pinnacle Sports,HOU,DEN,201612020DEN,1.52,2.69
56,21600295,Pinnacle Sports,LAL,MEM,201612030MEM,1.16,2.28
57,21600300,Pinnacle Sports,ORL,DET,201612040DET,2.77,4.15
58,21600301,Pinnacle Sports,NOP,OKC,201612040OKC,2.27,3.55
59,21600307,Pinnacle Sports,OKC,ATL,201612050ATL,1.6,2.78
60,21600305,Pinnacle Sports,CLE,TOR,201612050TOR,1.15,2.27
61,21600308,Pinnacle Sports,POR,CHI,201612050CHI,1.54,2.71
62,21600309,Pinnacle Sports,SAS,MIL,201612050MIL,3.5,2.22
63,21600313,Pinnacle Sports,UTA,LAL,201612050LAl,2.85,1.66
64,21600314,Pinnacle Sports,IND,GSW,201612050GSW,9.94,14.92
65,21600316,Pinnacle Sports,NYK,MIA,201612060MIA,1.02,2.13
66,21600320,Pinnacle Sports,PHO,UTA,201612060UTA,2.52,3.85
67,21600326,Pinnacle Sports,LAL,HOU,201612070HOU,9.44,14
68,21600328,Pinnacle Sports,SAC,DAL,201612070DAL,2.55,1.4
69,21600331,Pinnacle Sports,MIN,TOR,201612080TOR,4.16,5.9
70,21600335,Pinnacle Sports,GSW,UTA,201612080UTA,8.5,6.04
71,21600336,Pinnacle Sports,SAS,CHI,201612080CHI,2.58,1.43
72,21600338,Pinnacle Sports,MIA,CLE,201612090CLE,7.67,11
73,21600342,Pinnacle Sports,DET,MIN,201612090MIN,2.6,1.44
74,21600348,Pinnacle Sports,POR,IND,201612100IND,2.02,2.08
75,21600351,Pinnacle Sports,GSW,MEM,201612100MEM,10.5,7.36
76,21600356,Pinnacle Sports,PHI,DET,201612110DET,6.75,9.56
77,21600357,Pinnacle Sports,BOS,OKC,201612110OKC,1.44,2.6
78,21600364,Pinnacle Sports,BRK,HOU,201612120HOU,7.98,11.5
79,21600365,Pinnacle Sports,DEN,DAL,201612120DAL,2.32,1.2
80,21600367,Pinnacle Sports,LAL,SAC,201612120SAC,3.05,4.5
81,21600369,Pinnacle Sports,ORL,ATL,201612130ATL,3.01,4.45
82,21600370,Pinnacle Sports,MIN,CHI,201612130CHI,1.99,3.23
83,21600374,Pinnacle Sports,TOR,PHI,201612140PHI,4.5,3.05
84,21600380,Pinnacle Sports,SAC,HOU,201612140HOU,8.61,12.55
85,21600381,Pinnacle Sports,DET,DAL,201612140DAL,3,1.8
86,21600387,Pinnacle Sports,SAS,PHO,201612150PHO,4.35,2.93
87,21600395,Pinnacle Sports,NOP,HOU,201612160HOU,6.65,9.4
88,21600396,Pinnacle Sports,LAL,PHI,201612160PHI,2,2.1
89,21600411,Pinnacle Sports,SAC,DAL,201612180DAL,2.05,2.05
90,21600408,Pinnacle Sports,BRK,PHI,201612180PHI,1.02,2.13
91,21600413,Pinnacle Sports,WAS,IND,201612190IND,1.8,3
92,21600426,Pinnacle Sports,DEN,LAC,201612200LAC,2.93,4.35
93,21600430,Pinnacle Sports,MIN,ATL,201612210ATL,1.54,2.71
94,21600432,Pinnacle Sports,WAS,CHI,201612210CHI,1.5,2.66
95,21600434,Pinnacle Sports,SAC,UTA,201612210UTA,3.18,4.66
96,21600446,Pinnacle Sports,GSW,DET,201612230DET,4.21,2.82
97,21600451,Pinnacle Sports,ATL,DEN,201612230DEN,2.05,3.3
98,21600459,Pinnacle Sports,MIN,OKC,201612250OKC,1.62,2.8
99,21600465,Pinnacle Sports,IND,CHI,201612260CHI,1.24,2.37
100,21600478,Pinnacle Sports,NYK,ATL,201612280ATL,1.8,3
101,21600480,Pinnacle Sports,BRK,CHI,201612280CHI,4,5.7
102,21600485,Pinnacle Sports,TOR,GSW,201612280GSW,4.04,5.75
103,21600487,Pinnacle Sports,OKC,MEM,201612290MEM,2,2.1
104,21600490,Pinnacle Sports,TOR,PHO,201612290PHO,4.69,3.21
105,21600492,Pinnacle Sports,CHI,IND,201612300IND,1.65,2.83
106,21600502,Pinnacle Sports,MEM,SAC,201612310SAC,2.15,1.04
107,21600507,Pinnacle Sports,LAC,OKC,201612310OKC,3.5,5.05
108,21600504,Pinnacle Sports,NYK,HOU,201612310HOU,7.04,10
109,21600511,Pinnacle Sports,POR,MIN,201701010MIN,2.15,3.41
110,21600513,Pinnacle Sports,OKC,MIL,201701020MIL,1.11,2.23
111,21600516,Pinnacle Sports,ORL,NYK,201701020NYK,1.55,2.72
112,21600517,Pinnacle Sports,CHO,CHI,201701020CHI,2.15,1.04
113,21600520,Pinnacle Sports,DEN,GSW,201701020GSW,13.32,22
114,21600521,Pinnacle Sports,MIN,PHI,201701030PHI,2.93,1.73
115,21600523,Pinnacle Sports,IND,DET,201701030DET,1.9,3.12
116,21600524,Pinnacle Sports,WAS,DAL,201701030DAL,1.06,2.17
117,21600526,Pinnacle Sports,SAC,DEN,201701030DEN,1.47,2.63
118,21600539,Pinnacle Sports,ATL,NOP,201701050NOP,1.09,2.2
119,21600542,Pinnacle Sports,LAL,POR,201701050POR,2.31,3.6
120,21600544,Pinnacle Sports,MIN,WAS,201701060WAS,1.71,2.9
121,21600545,Pinnacle Sports,HOU,ORL,201701060ORL,2.85,1.66
122,21600547,Pinnacle Sports,CLE,BRK,201701060BRK,12,8.28
123,21600552,Pinnacle Sports,NYK,IND,201701070IND,2.52,3.85
124,21600560,Pinnacle Sports,PHI,BRK,201701080BRK,1.06,2.17
125,21600561,Pinnacle Sports,MIA,LAC,201701080LAC,4,5.7
126,21600559,Pinnacle Sports,DET,POR,201701080POR,1.48,2.64
127,21600572,Pinnacle Sports,BOS,TOR,201701100TOR,1.95,3.18
128,21600576,Pinnacle Sports,CLE,UTA,201701100UTA,2.05,2.05
129,21600577,Pinnacle Sports,POR,LAL,201701100LAl,2.31,1.19
130,21600578,Pinnacle Sports,MIA,GSW,201701100GSW,12.44,20
131,21600583,Pinnacle Sports,WAS,BOS,201701110BOS,1.84,3.05
132,21600586,Pinnacle Sports,NOP,BRK,201701120BRK,1.17,2.29
133,21600588,Pinnacle Sports,LAL,SAS,201701120SAS,12.44,20
134,21600592,Pinnacle Sports,BRK,TOR,201701130TOR,14.53,25
135,21600594,Pinnacle Sports,MIA,MIL,201701130MIL,2.95,4.37
136,21600597,Pinnacle Sports,BOS,ATL,201701130ATL,1.39,2.54
137,21600600,Pinnacle Sports,DET,UTA,201701130UTA,5.34,7.5
138,21600605,Pinnacle Sports,SAS,PHO,201701140PHO,10.5,7.36
139,21600607,Pinnacle Sports,MIL,ATL,201701150ATL,1.55,2.72
140,21600606,Pinnacle Sports,NYK,TOR,201701150TOR,4.56,6.43
141,21600612,Pinnacle Sports,DET,LAL,201701150LAl,2.25,1.13
142,21600617,Pinnacle Sports,ORL,DEN,201701160DEN,2.15,3.41
143,21600627,Pinnacle Sports,TOR,PHI,201701180PHI,3.26,2.02
144,21600632,Pinnacle Sports,MIL,HOU,201701180HOU,2.31,3.6
145,21600633,Pinnacle Sports,ATL,DET,201701180DET,2.3,1.18
146,21600635,Pinnacle Sports,IND,SAC,201701180SAC,1.25,2.38
147,21600641,Pinnacle Sports,POR,PHI,201701200PHI,2.43,1.29
148,21600646,Pinnacle Sports,GSW,HOU,201701200HOU,3.08,1.86
149,21600648,Pinnacle Sports,UTA,DAL,201701200DAL,3.13,1.91
150,21600657,Pinnacle Sports,SAS,CLE,201701210CLE,1.54,2.71
151,21600661,Pinnacle Sports,GSW,ORL,201701220ORL,19,11.98
152,21600664,Pinnacle Sports,DEN,MIN,201701220MIN,1.44,2.6
153,21600665,Pinnacle Sports,WAS,CHO,201701230CHO,2.27,3.55
154,21600667,Pinnacle Sports,LAC,ATL,201701230ATL,2.73,4.1
