game_id,game_date,matchup,team_id,is_home,wl,w,l,w_pct,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,a_team_id,season_year,season_type,season
21600745,2017-02-02,GSW @ LAC,1610612746,t,L,31.0,19.0,0.62,240,40.0,80.0,0.5,10.0,25.0,0.4,30.0,39.0,1.0,9.0,28.0,37,24.0,7.0,7.0,15.0,18.0,120,1610612744,2016,Regular Season,2016-17
21600739,2017-02-01,PHX vs. LAC,1610612746,f,W,31.0,18.0,0.633,240,44.0,85.0,0.518,5.0,19.0,0.263,31.0,38.0,1.0,8.0,38.0,46,20.0,9.0,8.0,10.0,28.0,124,1610612756,2016,Regular Season,2016-17
21600675,2017-01-24,PHI vs. LAC,1610612746,f,L,30.0,17.0,0.638,240,33.0,71.0,0.465,18.0,34.0,0.529,26.0,41.0,1.0,11.0,35.0,46,17.0,4.0,1.0,17.0,22.0,110,1610612755,2016,Regular Season,2016-17
21600667,2017-01-23,ATL vs. LAC,1610612746,f,W,30.0,16.0,0.652,240,42.0,84.0,0.5,14.0,24.0,0.583,17.0,22.0,1.0,10.0,36.0,46,23.0,4.0,8.0,11.0,19.0,115,1610612737,2016,Regular Season,2016-17
21600601,2017-01-14,LAL @ LAC,1610612746,t,W,28.0,14.0,0.667,240,48.0,92.0,0.522,10.0,28.0,0.35700000000000004,7.0,8.0,1.0,7.0,35.0,42,28.0,6.0,6.0,7.0,24.0,113,1610612747,2016,Regular Season,2016-17
21600519,2017-01-02,PHX @ LAC,1610612746,t,W,23.0,14.0,0.622,240,37.0,80.0,0.46299999999999997,7.0,16.0,0.43799999999999994,28.0,38.0,1.0,12.0,39.0,51,17.0,1.0,11.0,19.0,21.0,109,1610612756,2016,Regular Season,2016-17
41700232,2018-05-01,GSW vs. NOP,1610612740,f,L,0.0,2.0,0.0,240,48.0,105.0,0.457,13.0,37.0,0.35100000000000003,7.0,9.0,1.0,10.0,36.0,46,33.0,12.0,5.0,13.0,19.0,116,1610612744,2017,Playoffs,2017-18
21601156,2017-04-04,ORL @ CLE,1610612739,t,W,50.0,27.0,0.649,240,44.0,82.0,0.537,18.0,36.0,0.5,16.0,21.0,1.0,5.0,37.0,42,30.0,9.0,3.0,12.0,18.0,122,1610612753,2016,Regular Season,2016-17
21600338,2016-12-09,MIA @ CLE,1610612739,t,W,16.0,5.0,0.762,240,46.0,83.0,0.5539999999999999,9.0,24.0,0.375,13.0,19.0,1.0,11.0,36.0,47,23.0,7.0,9.0,11.0,16.0,114,1610612748,2016,Regular Season,2016-17
21600305,2016-12-05,TOR vs. CLE,1610612739,f,W,14.0,5.0,0.737,240,40.0,84.0,0.47600000000000003,14.0,32.0,0.43799999999999994,22.0,27.0,1.0,13.0,35.0,48,21.0,4.0,3.0,14.0,21.0,116,1610612761,2016,Regular Season,2016-17
